Device,VKey,ScanCode,E0,E1,Edge,HostTimestamp_ns
85922219,69,18,0,0,DOWN,177066995759
85922219,69,18,0,0,UP,177107386159
85922219,82,19,0,0,DOWN,177122967459
85922219,82,19,0,0,UP,177171399759
85922219,78,49,0,0,DOWN,177219586559
85922219,76,38,0,0,DOWN,177243650859
85922219,78,49,0,0,UP,177259195459
85922219,76,38,0,0,UP,177275688959
85922219,39,77,1,0,DOWN,177276636259
85922219,39,77,1,0,UP,177299431059
85922219,66,48,0,0,DOWN,177307232659
85922219,68,32,0,0,DOWN,177338910259
85922219,66,48,0,0,UP,177355039559
85922219,68,32,0,0,UP,177378992359
85922219,70,33,0,0,DOWN,177395073959
85922219,70,33,0,0,UP,177419230959
85922219,69,18,0,0,DOWN,177435038059
85922219,69,18,0,0,UP,177475194559
85922219,82,19,0,0,DOWN,177483202259
85922219,82,19,0,0,UP,177530995859
85922219,78,49,0,0,DOWN,177579165059
85922219,76,38,0,0,DOWN,177603238759
85922219,78,49,0,0,UP,177619641559
85922219,76,38,0,0,UP,177635238059
85922219,39,77,1,0,DOWN,177635786759
85922219,39,77,1,0,UP,177659148459
85922219,66,48,0,0,DOWN,177666890459
85922219,68,32,0,0,DOWN,177699194959
85922219,66,48,0,0,UP,177715271659
85922219,68,32,0,0,UP,177739333959
85922219,70,33,0,0,DOWN,177754962659
85922219,70,33,0,0,UP,177778842759
85922219,69,18,0,0,DOWN,177786975059
85922219,69,18,0,0,UP,177827025559
85922219,82,19,0,0,DOWN,177851936359
85922219,85,22,0,0,DOWN,177875024659
85922219,82,19,0,0,UP,177891098059
85922219,85,22,0,0,UP,177898808259
85922219,78,49,0,0,DOWN,177931286059
85922219,76,38,0,0,DOWN,177963185859
85922219,78,49,0,0,UP,177971139459
85922219,76,38,0,0,UP,177995403559
85922219,39,77,1,0,DOWN,177995732359
85922219,39,77,1,0,UP,178019381659
85922219,66,48,0,0,DOWN,178019752659
85922219,68,32,0,0,DOWN,178059384959
85922219,66,48,0,0,UP,178091177859
85922219,71,34,0,0,DOWN,178091564459
85922219,68,32,0,0,UP,178098977859
85922219,71,34,0,0,UP,178107009059
85922219,70,33,0,0,DOWN,178115153559
85922219,70,33,0,0,UP,178147280359
85922219,69,18,0,0,DOWN,178155141459
85922219,72,35,0,0,DOWN,178171322359
85922219,69,18,0,0,UP,178187763159
85922219,72,35,0,0,UP,178195130859
85922219,82,19,0,0,DOWN,178203281559
85922219,85,22,0,0,DOWN,178235573059
85922219,82,19,0,0,UP,178251432359
85922219,85,22,0,0,UP,178267285059
85922219,78,49,0,0,DOWN,178291396359
85922219,76,38,0,0,DOWN,178322975059
