Device,VKey,ScanCode,E0,E1,HostTimestamp_ns,KeyName
1775085,78,49,0,0,1760577772431,"N"
1775085,78,49,0,0,1760633874531,"N"
1775085,78,49,0,0,1760698859931,"N"
1775085,78,49,0,0,1760753453431,"N"
1775085,78,49,0,0,1760817298331,"N"
1775085,78,49,0,0,1760883019031,"N"
1775085,78,49,0,0,1760937204231,"N"
1775085,78,49,0,0,1761001517531,"N"
1775085,78,49,0,0,1761057123431,"N"
1775085,78,49,0,0,1761121614531,"N"
1775085,78,49,0,0,1761177608431,"N"
1775085,78,49,0,0,1761241489531,"N"
1775085,78,49,0,0,1761297445831,"N"
1775085,78,49,0,0,1761362008931,"N"
1775085,78,49,0,0,1761417324831,"N"
1775085,78,49,0,0,1761480336731,"N"
1775085,78,49,0,0,1761537195831,"N"
1775085,78,49,0,0,1761601102531,"N"
1775085,78,49,0,0,1761657433431,"N"
1775085,78,49,0,0,1761722179631,"N"
1775085,78,49,0,0,1761778443231,"N"
1775085,78,49,0,0,1761841672631,"N"
1775085,78,49,0,0,1761897396331,"N"
1775085,78,49,0,0,1761961920331,"N"
1775085,78,49,0,0,1762017703531,"N"
1775085,78,49,0,0,1762081498031,"N"
1775085,78,49,0,0,1762137120531,"N"
1775085,78,49,0,0,1762193169131,"N"
1775085,78,49,0,0,1762256920931,"N"
1775085,78,49,0,0,1762313142231,"N"
1775085,78,49,0,0,1762376843031,"N"
1775085,78,49,0,0,1762433067431,"N"
1775085,78,49,0,0,1762497573331,"N"
1775085,78,49,0,0,1762553157431,"N"
1775085,78,49,0,0,1762617145631,"N"
1775085,78,49,0,0,1762673734931,"N"
1775085,78,49,0,0,1762737388231,"N"
1775085,78,49,0,0,1762792763231,"N"
1775085,78,49,0,0,1762858117831,"N"
1775085,78,49,0,0,1762913048231,"N"
1775085,78,49,0,0,1762977061131,"N"
1775085,78,49,0,0,1763033222031,"N"
1775085,78,49,0,0,1763097103131,"N"
1775085,78,49,0,0,1763162820631,"N"
1775085,78,49,0,0,1763217707431,"N"
1775085,78,49,0,0,1763282182131,"N"
1775085,78,49,0,0,1763340105231,"N"
1775085,78,49,0,0,1763401394031,"N"
1775085,78,49,0,0,1763457016231,"N"
1775085,78,49,0,0,1763521207931,"N"
1775085,78,49,0,0,1763577923631,"N"
1775085,78,49,0,0,1763641340731,"N"
1775085,78,49,0,0,1763697218031,"N"
1775085,78,49,0,0,1763760980131,"N"
1775085,78,49,0,0,1763817135631,"N"
1775085,78,49,0,0,1763881141231,"N"
1775085,78,49,0,0,1763937109931,"N"
1775085,78,49,0,0,1764000900031,"N"
460196725,17,29,0,0,1767827084431,"STRG"
460196725,67,46,0,0,1767916004831,"C"
