seq,cycle,pos,char,gpio,t0_ns,t1_ns,t_latency_ns,valid,t_latency_ms,t_latency_ns_raw,t_latency_ns_drift
226,18,10,N,1,42671717000,1414624272432,-2315928,True,-2.315928,1371952555432,-1704689
227,18,11,D,5,42771719000,1414729687432,3099307,True,3.099307,1371957968432,3710546
228,19,0,F,11,42871721000,1414826606032,18142,True,0.018142,1371954885032,629381
229,19,1,H,13,42971723000,1414927412332,824678,True,0.824678,1371955689332,1435917
230,19,2,B,4,43071725000,1415024810332,-1777086,True,-1.777086,1371953085332,-1165847
231,19,3,U,15,43171727000,1415127760332,1173148,True,1.173148,1371956033332,1784387
232,19,4,R,14,43271728000,1415223820132,-2765815,True,-2.765815,1371952092132,-2154576
233,19,5,G,10,43371730000,1415337200232,10614519,True,10.614519,1371965470232,11225758
234,19,6,E,12,43471732000,1415424060432,-2525045,True,-2.525045,1371952328432,-1913806
235,19,7,N,1,43571733000,1415529363832,2779590,True,2.77959,1371957630832,3390829
235,19,7,N,1,43571733000,1415529363832,2779590,True,2.77959,1371957630832,3390829
236,19,8,L,2,43671735000,1415622989632,-3594374,True,-3.594374,1371951254632,-2983135
237,19,9,A,0,43771736000,1415722048132,-4534639,True,-4.534639,1371950312132,-3923400
238,19,10,N,1,43871738000,1415825925632,-656903,True,-0.656903,1371954187632,-45664
238,19,10,N,1,43871738000,1415825925632,-656903,True,-0.656903,1371954187632,-45664
239,19,11,D,5,43971740000,1415928682132,2099831,True,2.099831,1371956942132,2711070
240,20,0,F,11,44071742000,1416024902132,-1679933,True,-1.679933,1371953160132,-1068694
241,20,1,H,13,44171745000,1416121028732,-5554097,True,-5.554097,1371949283732,-4942858
242,20,2,B,4,44271748000,1416225749632,-833962,True,-0.833962,1371954001632,-222723
243,20,3,U,15,44371750000,1416320492132,-6091226,True,-6.091226,1371948742132,-5479987
244,20,4,R,14,44471751000,1416424206432,-2375691,True,-2.375691,1371952455432,-1764452
245,20,5,G,10,44571754000,1416519613832,-6969056,True,-6.969056,1371947859832,-6357817
246,20,6,E,12,44671757000,1416632540632,5956979,True,5.956979,1371960783632,6568218
247,20,7,N,1,44771758000,1416733388132,6805714,True,6.805714,1371961630132,7416953
247,20,7,N,1,44771758000,1416733388132,6805714,True,6.805714,1371961630132,7416953
248,20,8,L,2,44871760000,1416824690432,-1891750,True,-1.89175,1371952930432,-1280511
249,20,9,A,0,44971761000,1416927988732,1407785,True,1.407785,1371956227732,2019024
250,20,10,N,1,45071764000,1417026542032,-39680,True,-0.03968,1371954778032,571559
250,20,10,N,1,45071764000,1417026542032,-39680,True,-0.03968,1371954778032,571559
251,20,11,D,5,45171765000,1417128318932,1738455,True,1.738455,1371956553932,2349694
252,21,0,F,11,45271767000,1417223386232,-3194008,True,-3.194008,1371951619232,-2582769
253,21,1,H,13,45371768000,1417328837132,2258126,True,2.258126,1371957069132,2869365
254,21,2,B,4,45471770000,1417424228132,-2350638,True,-2.350638,1371952458132,-1739399
256,21,4,R,14,45671774000,1417623517132,-3061167,True,-3.061167,1371951743132,-2449928
257,21,5,G,10,45771776000,1417730864832,4286768,True,4.286768,1371959088832,4898007
258,21,6,E,12,45871778000,1417827454832,877003,True,0.877003,1371955676832,1488242
259,21,7,N,1,45971779000,1417931367732,4791138,True,4.791138,1371959588732,5402377
259,21,7,N,1,45971779000,1417931367732,4791138,True,4.791138,1371959588732,5402377
260,21,8,L,2,46071780000,1418023707132,-2868225,True,-2.868225,1371951927132,-2256986
261,21,9,A,0,46171782000,1418127724332,1149209,True,1.149209,1371955942332,1760448
262,21,10,N,1,46271784000,1418223760232,-2814655,True,-2.814655,1371951976232,-2203416
262,21,10,N,1,46271784000,1418223760232,-2814655,True,-2.814655,1371951976232,-2203416
263,21,11,D,5,46371786000,1418327878232,1303580,True,1.30358,1371956092232,1914819
264,22,0,F,11,46471787000,1418423529132,-3044284,True,-3.044284,1371951742132,-2433045
265,22,1,H,13,46571789000,1418528280932,1707750,True,1.70775,1371956491932,2318989
266,22,2,B,4,46671790000,1418625468032,-1103913,True,-1.103913,1371953678032,-492674
267,22,3,U,15,46771791000,1418728076432,1505721,True,1.505721,1371956285432,2116960
268,22,4,R,14,46871793000,1418825987132,-583344,True,-0.583344,1371954194132,27895
269,22,5,G,10,46971794000,1418928550332,1981092,True,1.981092,1371956756332,2592331
270,22,6,E,12,47071796000,1419022958132,-3610872,True,-3.610872,1371951162132,-2999633
271,22,7,N,1,47171797000,1419119930732,-6637036,True,-6.637036,1371948133732,-6025797
271,22,7,N,1,47171797000,1419119930732,-6637036,True,-6.637036,1371948133732,-6025797
