device,vkey,scancode,e0,e1,t1_ns,keyname
293540923,85,22,0,0,1419928197932,"U"
293540923,82,19,0,0,1420023656732,"R"
293540923,71,34,0,0,1420127451932,"G"
293540923,69,18,0,0,1420223975332,"E"
293540923,78,49,0,0,1420328636232,"N"
293540923,76,38,0,0,1420425382332,"L"
293540923,65,30,0,0,1420528306932,"A"
293540923,78,49,0,0,1420623569532,"N"
293540923,68,32,0,0,1420727464332,"D"
293540923,70,33,0,0,1420825169332,"F"
293540923,72,35,0,0,1420928889732,"H"
293540923,66,48,0,0,1421023588732,"B"
293540923,85,22,0,0,1421128189732,"U"
293540923,82,19,0,0,1421224083832,"R"
293540923,71,34,0,0,1421327192632,"G"
293540923,69,18,0,0,1421431785832,"E"
293540923,78,49,0,0,1421539362332,"N"
293540923,76,38,0,0,1421630498332,"L"
293540923,65,30,0,0,1421719432532,"A"
293540923,78,49,0,0,1421823960432,"N"
293540923,68,32,0,0,1421927122332,"D"
293540923,70,33,0,0,1422023553432,"F"
293540923,72,35,0,0,1422127383032,"H"
293540923,66,48,0,0,1422224875732,"B"
293540923,85,22,0,0,1422329738732,"U"
293540923,82,19,0,0,1422423464632,"R"
293540923,71,34,0,0,1422520668332,"G"
293540923,69,18,0,0,1422632004932,"E"
293540923,78,49,0,0,1422732639332,"N"
293540923,76,38,0,0,1422824089232,"L"
293540923,65,30,0,0,1422920135732,"A"
293540923,78,49,0,0,1423023637032,"N"
293540923,68,32,0,0,1423128012032,"D"
293540923,70,33,0,0,1423224276732,"F"
293540923,72,35,0,0,1423327860132,"H"
293540923,66,48,0,0,1423424757532,"B"
293540923,85,22,0,0,1423527378132,"U"
293540923,82,19,0,0,1423623970232,"R"
293540923,71,34,0,0,1423727749632,"G"
293540923,69,18,0,0,1423823742532,"E"
293540923,78,49,0,0,1423927342832,"N"
293540923,76,38,0,0,1424023874432,"L"
293540923,65,30,0,0,1424126791532,"A"
293540923,78,49,0,0,1424224575532,"N"
293540923,68,32,0,0,1424328678632,"D"
293540923,70,33,0,0,1424423587932,"F"
293540923,72,35,0,0,1424529298732,"H"
293540923,66,48,0,0,1424623186732,"B"
293540923,85,22,0,0,1424726736132,"U"
293540923,82,19,0,0,1424826421532,"R"
293540923,71,34,0,0,1424927830132,"G"
293540923,69,18,0,0,1425023424032,"E"
293540923,78,49,0,0,1425131126832,"N"
293540923,76,38,0,0,1425223150332,"L"
293540923,65,30,0,0,1425319467432,"A"
293540923,78,49,0,0,1425426104832,"N"
293540923,68,32,0,0,1425531414032,"D"
293540923,70,33,0,0,1425633805732,"F"
293540923,72,35,0,0,1425724055932,"H"
293540923,66,48,0,0,1425824343232,"B"
293540923,85,22,0,0,1425918856132,"U"
293540923,82,19,0,0,1426024397932,"R"
293540923,71,34,0,0,1426120751532,"G"
293540923,69,18,0,0,1426239512932,"E"
293540923,78,49,0,0,1426331183132,"N"
293540923,76,38,0,0,1426422970232,"L"
293540923,65,30,0,0,1426528891032,"A"
293540923,78,49,0,0,1426623222432,"N"
293540923,68,32,0,0,1426727544432,"D"
293540923,70,33,0,0,1426830275332,"F"
293540923,72,35,0,0,1426927206932,"H"
