seq,cycle,pos,char,gpio,t0_us,host_rx_ns
583,48,7,N,1,78372381,1450377822232
584,48,8,L,2,78472383,1450474985032
585,48,9,A,0,78572385,1450570153932
586,48,10,N,1,78672387,1450681640132
587,48,11,D,5,78772389,1450793851832
588,49,0,F,11,78872392,1450874095032
589,49,1,H,13,78972393,1450969099932
590,49,2,B,4,79072396,1451081050532
591,49,3,U,15,79172398,1451177402032
592,49,4,R,14,79272400,1451272322232
593,49,5,G,10,79372403,1451368157132
594,49,6,E,12,79472405,1451478599332
595,49,7,N,1,79572406,1451574550032
596,49,8,L,2,79672408,1451669627032
597,49,9,A,0,79772410,1451781396132
598,49,10,N,1,79872413,1451876249532
599,49,11,D,5,79972414,1451988480732
600,50,0,F,11,80072416,1452067910432
601,50,1,H,13,80172417,1452179615532
602,50,2,B,4,80272419,1452275247632
603,50,3,U,15,80372421,1452371539432
604,50,4,R,14,80472423,1452482221232
605,50,5,G,10,80572426,1452578437032
606,50,6,E,12,80672428,1452674392732
607,50,7,N,1,80772429,1452770145532
608,50,8,L,2,80872431,1452882200932
609,50,9,A,0,80972434,1452977933532
610,50,10,N,1,81072435,1453073561132
611,50,11,D,5,81172437,1453185688432
612,51,0,F,11,81272439,1453280435532
613,51,1,H,13,81372441,1453375975232
614,51,2,B,4,81472443,1453471239432
615,51,3,U,15,81572445,1453581599932
616,51,4,R,14,81672448,1453676897432
617,51,5,G,10,81772449,1453772472732
618,51,6,E,12,81872450,1453867982732
619,51,7,N,1,81972453,1453978252132
620,51,8,L,2,82072455,1454073571032
621,51,9,A,0,82172458,1454168553232
622,51,10,N,1,82272459,1454279953232
623,51,11,D,5,82372461,1454391667132
624,52,0,F,11,82472463,1454471159732
625,52,1,H,13,82572465,1454582193132
626,52,2,B,4,82672468,1454677502432
627,52,3,U,15,82772470,1454773302132
628,52,4,R,14,82872471,1454868313432
629,52,5,G,10,82972473,1454980362432
630,52,6,E,12,83072475,1455074545532
631,52,7,N,1,83172476,1455169677332
632,52,8,L,2,83272478,1455281726432
633,52,9,A,0,83372481,1455378808732
634,52,10,N,1,83472484,1455474568732
635,52,11,D,5,83572484,1455585448432
636,53,0,F,11,83672486,1455681114832
637,53,1,H,13,83772487,1455776324732
638,53,2,B,4,83872489,1455870664532
639,53,3,U,15,83972490,1455982256732
640,53,4,R,14,84072493,1456078701632
641,53,5,G,10,84172495,1456174012732
642,53,6,E,12,84272496,1456269707732
643,53,7,N,1,84372499,1456380632232
644,53,8,L,2,84472501,1456475856632
645,53,9,A,0,84572503,1456571084932
646,53,10,N,1,84672506,1456681594532
647,53,11,D,5,84772508,1456793412332
648,54,0,F,11,84872511,1456872701532
649,54,1,H,13,84972513,1456968339632
650,54,2,B,4,85072515,1457079462332
651,54,3,U,15,85172515,1457173718732
652,54,4,R,14,85272518,1457269704732
653,54,5,G,10,85372521,1457380657832
654,54,6,E,12,85472522,1457475848832
655,54,7,N,1,85572523,1457572622932
656,54,8,L,2,85672525,1457667283132
657,54,9,A,0,85772527,1457778752232
658,54,10,N,1,85872529,1457873797032
659,54,11,D,5,85972531,1457985791132
660,55,0,F,11,86072533,1458081047632
661,55,1,H,13,86172535,1458177154332
662,55,2,B,4,86272538,1458272565732
663,55,3,U,15,86372540,1458368226032
664,55,4,R,14,86472542,1458479459032
665,55,5,G,10,86572545,1458573402932
666,55,6,E,12,86672547,1458669308632
667,55,7,N,1,86772549,1458780365132
668,55,8,L,2,86872551,1458875788332
669,55,9,A,0,86972553,1458972217332
670,55,10,N,1,87072554,1459082867132
671,55,11,D,5,87172556,1459193916032
672,56,0,F,11,87272558,1459273956432
673,56,1,H,13,87372560,1459368667732
674,56,2,B,4,87472561,1459479279732
675,56,3,U,15,87572563,1459574689432
676,56,4,R,14,87672565,1459669353632
677,56,5,G,10,87772566,1459779883332
678,56,6,E,12,87872569,1459875545732
679,56,7,N,1,87972570,1459970884932
680,56,8,L,2,88072572,1460082417532
681,56,9,A,0,88172574,1460177618132
682,56,10,N,1,88272575,1460273293732
683,56,11,D,5,88372577,1460385974932
684,57,0,F,11,88472580,1460482061632
685,57,1,H,13,88572581,1460577366632
686,57,2,B,4,88672582,1460673238432
687,57,3,U,15,88772584,1460768380132
688,57,4,R,14,88872585,1460880372632
689,57,5,G,10,88972587,1460975565632
690,57,6,E,12,89072588,1461071142132
691,57,7,N,1,89172590,1461183005032
